timestamp,group,tar,,tar_sex,alarm,flock,flock_sex,flock_proximity,aux_response,auxID,
230707-105511,msf,mylo,,,0,haru,u,,,,0
230707-105511,msf,mylo,,,0,auin,u,,,,0
230707-105511,msf,mylo,,,0,mylo,u,,,,0
230707-105511,msf,mylo,,,0,xiel,u,,,,0
230707-105511,msf,mylo,,,0,mylo,,,,,1
230708-064826,msf,haru,,,0,mylo,m,,,,0
230708-064826,msf,haru,,,0,myax,m,,,,0
230708-064826,msf,haru,,,0,haru,f,,,,0
230708-064826,msf,haru,,,0,miel,u,,,,0
230708-064826,msf,haru,,,0,xigu,u,,,,0
230708-064826,msf,haru,,,0,thar,m,,,,0
230708-064826,msf,haru,,,0,haru,,,,,1
230708-094158,msf,thar,,,0,thar,f,,,,0
230708-094158,msf,thar,,,0,tasc,u,,,,0
230708-094158,msf,thar,,,0,mylo,u,,,,0
230708-094158,msf,thar,,,0,thar,,,,,1
230709-061134,msf,myhy,,,0,myhy,,,,,0
230709-061134,msf,myhy,,,0,myax,u,,,,0
230709-061134,msf,myhy,,,0,myle,u,,,,0
230709-061134,msf,myhy,,,0,myhy,,,,,1
230709-080512,msf,tasc,,,1,thar,u,,,,0
230709-080512,msf,tasc,,,1,hummingbird,u,,,,0
230709-080512,msf,tasc,,,1,myle,u,,,,0
230709-080512,msf,tasc,,,1,haru,u,,,,0
230709-080512,msf,tasc,,,1,tasc,,,,,1
230709-084511,msf,myle,,,1,cyli,,,,,0
230709-084511,msf,myle,,,1,myli,,,,,0
230709-084511,msf,myle,,,1,thar,,,,,0
230709-084511,msf,myle,,,1,catu,,,,,0
230709-084511,msf,myle,,,1,myat,,,,,0
230709-084511,msf,myle,,,1,myle,,,,,1
230711-064847,solo,foan,,,0,na,,,,,0
230711-083202,msf,myme,,,0,thar,u,,,,0
230711-083202,msf,myme,,,0,myme,,,,,1
230711-092039,msf,myle,,,0,myme,m,,,,0
230711-092039,msf,myle,,,0,myle,,,,,1
230711-095636,pair,moni,,,1,moni,u,,,,0
230711-095636,pair,moni,,,1,moni,,,,,1
230711-103129,solo,myhy,,,0,na,,,,,0
230713-110620,lek,pifa,,,0,pifa,,,,,0
230713-110620,lek,pifa,,,0,pifa,,,,,1
230713-120324,pair,haru,,,0,haru,,,,,0
230713-120324,pair,haru,,,0,haru,,,,,1
230714-095946,pair,moni,,,1,moni,,,,,0
230714-095946,pair,moni,,,1,moni,,,,,0
230714-103934,solo,mepi,,,0,na,,,,,0
230714-110821,solo,eubi,,,0,na,,,,,0
230714-115439,solo,myhy,,,0,na,,,,,0
230715-062221,msf,thar,,,0,xigu,u,,,,0
230715-062221,msf,thar,,,0,myax,u,,,,0
230715-062221,msf,thar,,,0,haru,u,,,,0
230715-062221,msf,thar,,,0,myme,u,,,,0
230715-062221,msf,thar,,,0,gisp,u,,,,0
230715-062221,msf,thar,,,0,thar,,,,,1
230715-072821,pair,myhy,,,0,myhy,m,,,,0
230715-072821,pair,myhy,,,0,myhy,,,,,1
230715-122124,msf,mylo,,,0,mylo,f,,,,0
230715-122124,msf,mylo,,,0,haru,m,,,,0
230715-122124,msf,mylo,,,0,haru,f,,,,0
230715-122124,msf,mylo,,,0,myle,m,,,,0
230715-122124,msf,mylo,,,0,mylo,,,,,1
230715-145459,msf,myhy,,,0,myhy,m,,,,0
230715-145459,msf,myhy,,,0,xigu,u,,,,0
230715-145459,msf,myhy,,,0,myhy,,,,,1
230715-162200,msf,haru,,,0,haru,f,,,,0
230715-162200,msf,haru,,,0,phpy,u,,,,0
230715-162200,msf,haru,,,0,haru,,,,,1
230717-062424,solo,foan,,,0,na,,,,,0
230717-074338,solo,cyar,,,0,na,,,,,0
230717-082845,msf,xigu,,,0,myax,u,,,,0
230717-082845,msf,xigu,,,0,thar,u,,,,0
230717-082845,msf,xigu,,,0,xigu,,,,,1
230717-104725,solo,myle,,,0,na,,,,,0
230718-081348,msf,hyma,,,0,hyma,u,,,,0
230718-081348,msf,hyma,,,0,myhy,f,,,,0
230718-081348,msf,hyma,,,0,moni,u,,,,0
230718-081348,msf,hyma,,,0,hyma,,,,,1
230718-092541,pair,mylo,,,1,mylo,m,,,,0
230718-092541,pair,mylo,,,1,mylo,,,,,1
230718-105211,msf,haru,,,0,haru,m,,,,0
230718-105211,msf,haru,,,0,mylo,u,,,,0
230718-105211,msf,haru,,,0,haru,,,,,1
230718-131702,msf,trme,,,0,thsy,m,,,,0
230718-131702,msf,trme,,,0,thsy,f,,,,0
230718-131702,msf,trme,,,0,xemi,u,,,,0
230718-131702,msf,trme,,,0,trme,,,,,1
230719-081034,pair,trco,,,0,trco,f,,,,0
230719-081034,pair,trco,,,0,trco,,,,,1
230719-100529,solo,nalo,,,0,na,,,,,0
230719-103206,msf,thar,,,0,mylo,f,,,,0
230719-103206,msf,thar,,,0,mylo,m,,,,0
230719-103206,msf,thar,,,0,phni,u,,,,0
230719-103206,msf,thar,,,0,xigu,u,,,,0
230719-103206,msf,thar,,,0,phma,u,,,,0
230719-103206,msf,thar,,,0,pher,u,,,,0
230719-103206,msf,thar,,,0,thar,,,,,1
230719-110055,msf,mylo,,,0,myme,m,,,,0
230719-110055,msf,mylo,,,0,thar,f,,,,0
230719-110055,msf,mylo,,,0,xigu,u,,,,0
230719-110055,msf,mylo,,,0,mylo,f,,,,0
230719-110055,msf,mylo,,,0,mylo,,,,,1
230719-115914,msf,myhy,,,0,hyma,m,,,,0
230719-115914,msf,myhy,,,0,hyma,f,,,,0
230719-115914,msf,myhy,,,0,myle,m,,,,0
230719-115914,msf,myhy,,,0,myle,f,,,,0
230719-115914,msf,myhy,,,0,cale,u,,,,0
230719-115914,msf,myhy,,,0,myhy,,,,,0
230720-061454,msf,myle,,,1,myhy,m,,,,0
230720-061454,msf,myle,,,1,myle,m,,,,0
230720-061454,msf,myle,,,1,myle,,,,,1
230720-065002,msf,myle,,,0,crun,u,,,,0
230720-065002,msf,myle,,,0,myle,,,,,1
230720-072446,pair,myle,,,0,myle,m,,,,0
230720-072446,pair,myle,,,0,myle,,,,,1
230720-080442,solo,myhy,,,0,na,na,,,,0
230720-091827,msf,myhy,,,0,sche,m,,,,0
230720-091827,msf,myhy,,,0,myhy,f,,,,0
230720-091827,msf,myhy,,,0,myhy,,,,,1
230721-073705,solo,myhy,,,0,na,na,,,,0
230721-095248,pair,myhy,,,0,myhy,m,,,,0
230721-095248,pair,myhy,,,0,myhy,,,,,1
230722-071909,lek,pifa,,,0,pifa,m,,,,0
230722-071909,lek,pifa,,,0,pifa,m,,,,0
230722-071909,lek,pifa,,,0,pifa,m,,,,0
230722-071909,lek,pifa,,,0,pifa,f,,,,0
230722-071909,lek,pifa,,,0,pifa,,,,,1
230722-100956,pair,tasc,,,0,tasc,f,,,,0
230722-100956,pair,tasc,,,0,tasc,,,,,0
230722-120847,msf,myax,,,0,myax,m,,,,0
230722-120847,msf,myax,,,0,teer,u,,,,0
230722-120847,msf,myax,,,0,myax,,,,,1
230724-063740,solo,foan,,,0,na,na,,,,0
230724-080225,solo,trco,,,0,na,na,,,,0
230724-083037,msf,thar,,,0,mylo,m,,,,0
230724-083037,msf,thar,,,0,mylo,f,,,,0
230724-083037,msf,thar,,,0,myax,m,,,,0
230724-083037,msf,thar,,,0,haru,m,,,,0
230724-083037,msf,thar,,,0,haru,f,,,,0
230724-083037,msf,thar,,,0,tasc,m,,,,0
230724-083037,msf,thar,,,0,tasc,f,,,,0
230724-083037,msf,thar,,,0,thar,,,,,1
230724-092728,pair,myhy,,,0,myhy,f,5,,,0
230724-092728,pair,myhy,,,0,myhy,,,,,0
230724-105944,pair,sche,,,0,sche,f,,,,0
230724-105944,pair,sche,,,0,sche,,,,,0
230724-125824,lek,pifa,,,0,na,,,,,0
230724-132158,lek,pifa,,,0,na,,,,,0
230725-083057,lek,pifa,,,0,pifa,m,2,,,0
230725-083057,lek,pifa,,,0,pifa,,,,,1
230725-114906,msf,xigu,,,0,phpy,,,,,0
230725-114906,msf,xigu,,,0,xigu,,,,,1
230725-121531,msf,moni,,,0,moni,u,,,,0
230725-121531,msf,moni,,,0,rani,u,5,,,0
230725-121531,msf,moni,,,0,moni,,,,,1
230727-065504,msf,raca,,,1,raca,u,6,na,,0
230727-065504,msf,raca,,,1,vich,u,2,,,0
230727-065504,msf,raca,,,1,tuoc,u,1,,,0
230727-065504,msf,raca,,,1,xeru,u,1,,,0
230727-065504,msf,raca,,,1,raca,,,,,1
230727-082936,msf,gacy,,,0,raca,u,,,,0
230727-082936,msf,gacy,,,0,gacy,,,,,1
230727-085514,solo,moni,,,0,na,,,,,0
230727-104229,pair,toch,,,0,toch,u,9,,,0
230727-104229,pair,toch,,,0,toch,,,,,1
230728-082620,msf,euri,,,0,raca,u,9,,,0
230728-082620,msf,euri,,,0,raca,u,9,,,0
230728-082620,msf,euri,,,0,raca,u,9,,,0
230728-082620,msf,euri,,,0,raca,u,9,,,0
230728-082620,msf,euri,,,0,raca,u,9,,,0
230728-082620,msf,euri,,,0,raca,u,9,,,0
230728-082620,msf,euri,,,0,euri,,,,,1
230728-090119,solo,moni,,,0,na,,,,,0
230728-110440,solo,myax,,,0,na,,,,,0
230728-115051,solo,moni,,,0,na,,,,,0
230729-090321,solo,livo,,,0,na,,,,,0
230729-101604,msf,thsy,,,1,thar,f,,,,0
230729-101604,msf,thsy,,,1,myhy,m,,,,0
230729-101604,msf,thsy,,,1,myhy,f,,,,0
230729-101604,msf,thsy,,,1,foan,u,,,,0
230729-101604,msf,thsy,,,1,pifl,f,,,,0
230729-101604,msf,thsy,,,1,phpy,u,,,,0
230729-101604,msf,thsy,,,1,myga,u,,,,0
230729-101604,msf,thsy,,,1,cyli,m,,,,0
230729-101604,msf,thsy,,,1,myax,m,,,,0
230729-101604,msf,thsy,,,1,pyst,m,,,,0
230729-101604,msf,thsy,,,1,thsc,m,,,,0
230729-101604,msf,thsy,,,1,haru,f,,,,0
230729-101604,msf,thsy,,,1,euch,m,,,,0
230729-101604,msf,thsy,,,1,euch,f,,,,0
230729-101604,msf,thsy,,,1,toas,u,,,,0
230729-101604,msf,thsy,,,1,thsy,,,,,1
230729-115423,pair,xigu,,,0,xigu,u,,,,0
230729-115423,pair,xigu,,,0,xigu,,,,,1
230730-065941,msf,myca,,,1,mysi,u,,,,0
230730-065941,msf,myca,,,1,raca,u,,,,0
230730-065941,msf,myca,,,1,raca,u,,,,0
230730-065941,msf,myca,,,1,raca,u,,,,0
230730-065941,msf,myca,,,1,raca,u,,,,0
230730-065941,msf,myca,,,1,raca,u,,,,0
230730-065941,msf,myca,,,1,mygr,u,,,,0
230730-065941,msf,myca,,,1,myca,,,,,1
230730-073916,ssf,thep,,,0,thep,u,3,,,0
230730-073916,ssf,thep,,,0,thep,,,,,0
230730-073916,ssf,thep,,,0,thep,,,,,0
230730-073916,ssf,thep,,,0,thep,,,,,0
230731-090508,msf,myax,,,0,myax,m,,a,,0
230731-090508,msf,myax,,,0,myhy,m,,,,0
230731-090508,msf,myax,,,0,tasc,m,,,,0
230731-090508,msf,myax,,,0,tasc,f,,,,0
230731-090508,msf,myax,,,0,myax,,,,,1
230731-114522,msf,haru,,,0,myax,m,,,,0
230731-114522,msf,haru,,,0,haru,f,,,,0
230731-114522,msf,haru,,,0,haru,j,,,,0
230731-114522,msf,haru,,,0,hegr,u,,,,0
230731-114522,msf,haru,,,0,xigu,u,,,,0
230731-114522,msf,haru,,,0,haru,,,,,1
230801-074612,msf,myle,,,1,myhy,m,7,,,0
230801-074612,msf,myle,,,1,myhy,f,18,,,0
230801-074612,msf,myle,,,1,cyar,u,11,,,0
230801-074612,msf,myle,,,1,myle,,,,,1
230801-083023,msf,thar,,,0,haru,m,,,,0
230801-083023,msf,thar,,,0,myax,f,,,,0
230801-083023,msf,thar,,,0,cyar,u,,,,0
230801-083023,msf,thar,,,0,cyar,u,,,,0
230801-083023,msf,thar,,,0,thar,,,,,1
230801-091257,msf,xigu,,,0,mylo,f,,,,0
230801-091257,msf,xigu,,,0,mylo,m,,,,0
230801-091257,msf,xigu,,,0,myhy,m,,,,0
230801-091257,msf,xigu,,,0,myax,f,,,,0
230801-091257,msf,xigu,,,0,cese,m,,,,0
230801-091257,msf,xigu,,,0,xigu,,,,,1
230801-105233,lek,pifa,,,0,na,na,,,,0
230802-124836,ssf,brcy,,,0,brcy,u,0,c,,0
