timestamp,group,tar,,tar_sex,alarm,flock,flock_sex,flock_proximity,aux_response,auxID
230704-102432,na,myhy,,M,0,na,,,,na
230704-105431,na,thar,,M,0,na,,,,na
230706-084357,na,laeu,,U,0,na,,,,na
230707-094226,na,trco,,M,0,na,,,,na
230707-102302,na,euch,,M,0,na,,,,na
230707-105511,msf,mylo,,M,0,haru,u,,,na
230707-105511,msf,mylo,,M,0,auin,u,,,na
230707-105511,msf,mylo,,M,0,mylo,u,,,na
230707-105511,msf,mylo,,M,0,xiel,u,,,na
230708-064826,msf,haru,,M,0,mylo,m,,,na
230708-064826,msf,haru,,M,0,myax,m,,,na
230708-064826,msf,haru,,M,0,haru,f,,,na
230708-064826,msf,haru,,M,0,miel,u,,,na
230708-064826,msf,haru,,M,0,xigu,u,,,na
230708-064826,msf,haru,,M,0,thar,m,,,na
230708-094158,msf,thar,,M,0,thar,f,,,na
230708-094158,msf,thar,,M,0,tasc,u,,,na
230708-094158,msf,thar,,M,0,mylo,u,,,na
230709-061134,msf,myhy,,M,0,myhy,,,,na
230709-061134,msf,myhy,,M,0,myax,u,,,na
230709-061134,msf,myhy,,M,0,myle,u,,,na
230709-080512,msf,tasc,,U,1,thar,u,,,na
230709-080512,msf,tasc,,U,1,hummingbird,u,,,na
230709-080512,msf,tasc,,U,1,myle,u,,,na
230709-080512,msf,tasc,,U,1,haru,u,,,na
230709-084511,msf,myle,,M,1,cyli,,,,na
230709-084511,msf,myle,,M,1,myli,,,,na
230709-084511,msf,myle,,M,1,thar,,,,na
230709-084511,msf,myle,,M,1,catu,,,,na
230709-084511,msf,myle,,M,1,myat,,,,na
230711-064847,solo,foan,,U,0,na,,,,na
230711-083202,msf,myme,,m,0,thar,u,,,na
230711-092039,msf,myle,,f,0,myme,m,,,na
230711-095636,pair,moni,,u,1,moni,u,,,na
230711-103129,solo,myhy,,u,0,na,,,,na
230713-110620,lek,pifa,,m,0,pifa,,,,na
230713-120324,pair,haru,,m,0,haru,,,,na
230714-095946,pair,moni,,u,1,moni,,,,na
230714-103934,solo,mepi,,u,0,na,,,,na
230714-110821,solo,eubi,,f,0,na,,,,na
230714-115439,solo,myhy,,m,0,na,,,,na
230715-062221,msf,thar,,m,0,xigu,u,,,na
230715-062221,msf,thar,,m,0,myax,u,,,na
230715-062221,msf,thar,,m,0,haru,u,,,na
230715-062221,msf,thar,,m,0,myme,u,,,na
230715-062221,msf,thar,,m,0,gisp,u,,,na
230715-072821,pair,myhy,,f,0,myhy,m,,,na
230715-122124,msf,mylo,,m,0,mylo,f,,,na
230715-122124,msf,mylo,,m,0,haru,m,,,na
230715-122124,msf,mylo,,m,0,haru,f,,,na
230715-122124,msf,mylo,,m,0,myle,m,,,na
230715-145459,msf,myhy,,f,0,myhy,m,,,na
230715-145459,msf,myhy,,f,0,xigu,u,,,na
230715-162200,msf,haru,,m,0,haru,f,,,na
230715-162200,msf,haru,,m,0,phpy,u,,,na
230717-062424,solo,foan,,u,0,na,,,,na
230717-074338,solo,cyar,,u,0,na,,,,na
230717-082845,msf,xigu,,u,0,myax,u,,,na
230717-082845,msf,xigu,,u,0,thar,u,,,na
230717-104725,solo,myle,,m,0,,,,,na
230718-081348,msf,hyma,,u,0,hyma,u,,,na
230718-081348,msf,hyma,,u,0,myhy,f,,,na
230718-081348,msf,hyma,,u,0,moni,u,,,na
230718-092541,pair,mylo,,f,1,mylo,m,,,na
230718-105211,msf,haru,,f,0,haru,m,,,na
230718-105211,msf,haru,,f,0,mylo,u,,,na
230718-131702,msf,trme,,f,0,thsy,m,,,na
230718-131702,msf,trme,,f,0,thsy,f,,,na
230718-131702,msf,trme,,f,0,xemi,u,,,na
230719-081034,pair,trco,,m,0,trco,f,,,na
230719-100529,solo,nalo,,u,0,na,,,,na
230719-103206,msf,thar,,f,0,mylo,f,,,na
230719-103206,msf,thar,,f,0,mylo,m,,,na
230719-103206,msf,thar,,f,0,phni,u,,,na
230719-103206,msf,thar,,f,0,xigu,u,,,na
230719-103206,msf,thar,,f,0,phma,u,,,na
230719-103206,msf,thar,,f,0,pher,u,,,na
230719-110055,msf,mylo,,m,0,myme,m,,,na
230719-110055,msf,mylo,,m,0,thar,f,,,na
230719-110055,msf,mylo,,m,0,xigu,u,,,na
230719-110055,msf,mylo,,m,0,mylo,f,,,na
230719-115914,msf,myhy,,m,0,hyma,m,,,na
230719-115914,msf,myhy,,m,0,hyma,f,,,na
230719-115914,msf,myhy,,m,0,myle,m,,,na
230719-115914,msf,myhy,,m,0,myle,f,,,na
230719-115914,msf,myhy,,m,0,cale,u,,,na
230720-061454,msf,myle,,f,1,myhy,m,,,na
230720-061454,msf,myle,,f,1,myle,m,,,na
230720-065002,msf,myle,,m,0,crun,u,,,na
230720-072446,pair,myle,,m,0,myle,m,,,na
230720-080442,solo,myhy,,f,0,na,na,,,na
230720-091827,msf,myhy,,m,0,sche,m,,,na
230720-091827,msf,myhy,,m,0,myhy,f,,,na
230721-073705,solo,myhy,,m,0,na,na,,,na
230721-095248,pair,myhy,,f,0,myhy,m,,,na
230722-071909,lek,pifa,,m,0,pifa,m,,,na
230722-071909,lek,pifa,,m,0,pifa,m,,,na
230722-071909,lek,pifa,,m,0,pifa,m,,,na
230722-071909,lek,pifa,,m,0,pifa,f,,,na
230722-100956,pair,tasc,,m,0,tasc,f,,,na
230722-120847,msf,myax,,f,0,myax,m,,,na
230722-120847,msf,myax,,f,0,teer,u,,,na
230724-063740,solo,foan,,u,0,na,na,,,na
230724-080225,solo,trco,,f,0,na,na,,,na
230724-083037,msf,thar,,m,0,mylo,m,,,na
230724-083037,msf,thar,,m,0,mylo,f,,,na
230724-083037,msf,thar,,m,0,myax,m,,,na
230724-083037,msf,thar,,m,0,haru,m,,,na
230724-083037,msf,thar,,m,0,haru,f,,,na
230724-083037,msf,thar,,m,0,tasc,m,,,na
230724-083037,msf,thar,,m,0,tasc,f,,,na
230724-092728,pair,myhy,,m,0,myhy,f,5,,na
230724-105944,pair,sche,,m,0,sche,f,,,na
230724-125824,lek,pifa,,m,0,,,,,na
230724-132158,lek,pifa,,m,0,,,,,na
230725-083057,lek,pifa,,m,0,pifa,m,2,,na
230725-114906,msf,xigu,,u,0,phpy,,,,na
230725-121531,msf,moni,,u,0,moni,u,,,na
230725-121531,msf,moni,,u,0,rani,u,5,,na
230727-065504,msf,raca,,m,1,raca,u,6,na,na
230727-065504,msf,raca,,m,1,vich,u,2,,na
230727-065504,msf,raca,,m,1,tuoc,u,1,,na
230727-065504,msf,raca,,m,1,xeru,u,1,,na
230727-082936,msf,gacy,,u,0,raca,u,,,na
230727-085514,solo,moni,,u,0,na,,,,na
230727-104229,pair,toch,,u,0,toch,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-090119,solo,moni,,u,0,na,,,,na
230728-110440,solo,myax,,f,0,na,,,,na
230728-115051,solo,moni,,u,0,na,,,,na
230729-090321,solo,livo,,u,0,na,,,,na
230729-101604,msf,thsy,,f,1,thar,f,,,na
230729-101604,msf,thsy,,f,1,myhy,m,,,na
230729-101604,msf,thsy,,f,1,myhy,f,,,na
230729-101604,msf,thsy,,f,1,foan,u,,,na
230729-101604,msf,thsy,,f,1,pifl,f,,,na
230729-101604,msf,thsy,,f,1,phpy,u,,,na
230729-101604,msf,thsy,,f,1,myga,u,,,na
230729-101604,msf,thsy,,f,1,cyli,m,,,na
230729-101604,msf,thsy,,f,1,myax,m,,,na
230729-101604,msf,thsy,,f,1,pyst,m,,,na
230729-101604,msf,thsy,,f,1,thsc,m,,,na
230729-101604,msf,thsy,,f,1,haru,f,,,na
230729-101604,msf,thsy,,f,1,euch,m,,,na
230729-101604,msf,thsy,,f,1,euch,f,,,na
230729-101604,msf,thsy,,f,1,toas,u,,,na
230729-115423,ssf,xigu,,u,0,xigu,u,,,na
230730-065941,msf,myca,,u,1,mysi,u,,,na
230730-065941,msf,myca,,u,1,raca,u,,,na
230730-065941,msf,myca,,u,1,raca,u,,,na
230730-065941,msf,myca,,u,1,raca,u,,,na
230730-065941,msf,myca,,u,1,raca,u,,,na
230730-065941,msf,myca,,u,1,raca,u,,,na
230730-065941,msf,myca,,u,1,mygr,u,,,na
230730-073916,ssf,thep,,u,0,thep,u,3,,na
230731-090508,msf,myax,,f,0,myax,m,,a,1
230731-090508,msf,myax,,f,0,myhy,m,,,na
230731-090508,msf,myax,,f,0,tasc,m,,,na
